HRDLST	ecDNA	CHR	WGDearly	WGDlate
NGFID9	0.219696304786531	0	0.65016794029717	0.0826694781470693	0.0474662767692301
NIXBOP	0.410897650348299	0.0510164386307048	0.511326708849942	0	0.0267592021710548
NJVN6T	0.0404877661358552	0.00203323322840634	0.948415290025953	0.00906371060978519	0
NLKCE1	0.0367451687378646	0	0.866961188819858	0.0962936424422773	0
NMIAFE	0	0.0311062180316186	0.874838132823835	0.0940556491445462	0
NT5TF6	0.296580025106779	0.0210074706719056	0.665204290324741	0.0172082138965741	0
NUBZ28	0.222406878187889	0.0363156274040646	0.730880924594213	0	0.0103965698138336
O3GQ7V	0	0.0827987356684588	0.82800703783512	0.0891942264964211	0
O8G8VB	0	0.106867174091935	0.777040778341112	0.0763856955678623	0.0397063519990906
OCRNVG	0.414264770154456	0.0124332991553102	0.501346680704285	0	0.0719552499859485
OE1DAF	0.176173862341036	0.0112817814993106	0.787741833030677	0.0248025231289773	0
OFLSKR	0.0862584460422033	0.00295044381718199	0.821633455434793	0.0891576547058216	0
OGAO9B	0.0389211984545552	0	0.87016425288304	0.090914548662405	0
OI76XA	0	0.0101298265823957	0.898826700715468	0.0910434727021367	0
OMAA4O	0.122310463293102	0.0183557320697925	0.724914164978542	0.084983832438471	0.0494358072200925
OVHVKC	0.107564862256049	0.0363644263064382	0.854544984041489	0.00152572739602426	0
OW5CVQ	0	0.0844551787299738	0.700421526996535	0.0557179501450752	0.159405344128416
P0GY2V	0.0807854348508793	0.01346742138202	0.87959784170361	0.00208312181388075	0.0240661802496095
P2B6AX	0.372719232778709	0.0323870265105087	0.478382344476546	0.0472851936851534	0.0692262025490835
P6QYCK	0.129599528658058	0.0729799655519251	0.785281491035255	0.012139014754762	0
P8E3Y0	0.118198183957123	0.0476486363030584	0.833140838882888	0	0.00101234085693099
P9W3NR	0.267396374899765	0.00946870150995633	0.700576988251152	0.00166898812644138	0.0208889472126858
PCIW0J	0	0.0660099091202458	0.826016417685854	0.0983560478687182	0.00961762532518231
PTI4QX	0.452797817715432	0	0.439364527006003	0.0521856325050785	0.0556520227734865
PTM6UL	0.206833467917343	0.00437421547223848	0.667159095949485	0.0795457594168898	0.0420874612440435
Q49YJ2	0.0356146521176785	0.0536710144503978	0.905938541488172	0.00477579194375168	0
QBKVM2	0	0.0207050190752886	0.891714414007916	0.0875805669167951	0
QC5S5K	0.462057615962026	0.000367031821230952	0.383666858995359	0.038904970053479	0.115003523167905
QNHR0L	0.377927432927988	0.0454933893940278	0.552046329933492	0	0.0245328477444921
QZH1C0	0	0.0199745419201656	0.872194649804488	0.107830808275347	0
R5OS70	0.238320505107584	0.0178209939638362	0.719916985355221	0	0.0239415155733592
R9U6TF	0.0861114045081991	0.00883284532585566	0.397785197595008	0	0.507270552570937
RGJDZI	0.0855784581535322	0	0.816296395020017	0.0981251468264507	0
RM600Q	0.025554151460468	0.021152375303152	0.929211883611121	0.0240815896252587	0
RNWB8P	0.0618979097973917	0.0158120408843626	0.922049637251609	0.000240412066636576	0
RR2OQ9	0	0.000922581614442719	0.902119068201856	0.0969583501837017	0
RTSV89	0.0808031177960598	0.121119019957315	0.668128675288225	0.0594216860521258	0.0705275009062744
RUA36W	0	0.0901310398918167	0.80794250551828	0.0778272544530306	0.0240992001368725
RY4CCH	0.373632510677952	0.00321832995037283	0.609357593602304	0	0.013791565769371
RZ1VOE	0.203025616215047	0.0285484655069557	0.643680395649379	0.0746381383795633	0.0501073842490552
S0KO94	0.241496212954768	0.0409754783129528	0.699037912023776	0	0.0184903967085035
S9AEOB	0.262850456644774	0.00712246910283749	0.715322405392097	0.0147046688602911	0
SDQFKX	0	0.0463299247231757	0.860422221607475	0.0932478536693496	0
SQKKTN	0.432014127721232	0.022809619592139	0.424354883392724	0.0479159043039714	0.0729054649899334
